Soil Type,Nitrogen,Phosphorus,Potassium,Soil Moisture,Humidity,Temparature,Crop Type,Fertilizer Name
Black,75,50,100,60.5,100,20,Sugarcane,Urea
Black,80,50,100,60.5,100,20,Sugarcane,Urea
Black,805,50,100,60.5,100,20,Sugarcane,Urea
Black,90,50,100,60.5,100,20,Sugarcane,Urea
Black,95,50,100,60.5,100,20,Sugarcane,Urea
Black,100,50,100,60.5,100,20,Sugarcane,Urea
Black,75,55,105,70,100,25,Sugarcane,Urea
Black,80,55,105,70,100,25,Sugarcane,Urea
Black,805,55,105,70,100,25,Sugarcane,Urea
Black,90,55,105,70,100,25,Sugarcane,Urea
Black,95,55,105,70,100,25,Sugarcane,Urea
Black,100,55,105,70,100,25,Sugarcane,Urea
Black,75,60,100,70.5,100,30,Sugarcane,Urea
Black,80,60,100,70.5,100,30,Sugarcane,Urea
Black,805,60,100,70.5,100,30,Sugarcane,Urea
Black,90,60,100,70.5,100,30,Sugarcane,Urea
Black,95,60,100,70.5,100,30,Sugarcane,Urea
Black,100,60,100,70.5,100,30,Sugarcane,Urea
Black,75,50,115,60.5,13,35,Sugarcane,Urea
Black,80,50,115,60.5,13,35,Sugarcane,Urea
Black,805,50,115,60.5,13,35,Sugarcane,Urea
Black,90,50,115,60.5,13,35,Sugarcane,Urea
Black,95,50,115,60.5,13,35,Sugarcane,Urea
Black,100,50,115,60.5,13,35,Sugarcane,Urea
Black,75,55,100,70,14,20,Sugarcane,DAP
Black,80,55,100,70,14,20,Sugarcane,DAP
Black,805,55,100,70,14,20,Sugarcane,DAP
Black,90,55,100,70,14,20,Sugarcane,DAP
Black,95,55,100,70,14,20,Sugarcane,DAP
Black,100,55,100,70,14,20,Sugarcane,DAP
Black,75,60,105,70.5,15,25,Sugarcane,DAP
Black,80,60,105,70.5,15,25,Sugarcane,DAP
Black,805,60,105,70.5,15,25,Sugarcane,DAP
Black,90,60,105,70.5,15,25,Sugarcane,DAP
Black,95,60,105,70.5,15,25,Sugarcane,DAP
Black,100,60,105,70.5,15,25,Sugarcane,DAP
Black,75,50,100,60.5,100,30,Sugarcane,DAP
Black,80,50,100,60.5,100,30,Sugarcane,DAP
Black,805,50,100,60.5,100,30,Sugarcane,DAP
Black,90,50,100,60.5,100,30,Sugarcane,DAP
Black,95,50,100,60.5,100,30,Sugarcane,DAP
Black,100,50,100,60.5,100,30,Sugarcane,DAP
Black,75,55,115,70,100,35,Sugarcane,DAP
Black,80,55,115,70,100,35,Sugarcane,DAP
Black,805,55,115,70,100,35,Sugarcane,DAP
Black,90,55,115,70,100,35,Sugarcane,DAP
Black,95,55,115,70,100,35,Sugarcane,DAP
Black,100,55,115,70,100,35,Sugarcane,DAP
Black,75,60,100,70.5,100,20,Sugarcane,MOP
Black,80,60,100,70.5,100,20,Sugarcane,MOP
Black,805,60,100,70.5,100,20,Sugarcane,MOP
Black,90,60,100,70.5,100,20,Sugarcane,MOP
Black,95,60,100,70.5,100,20,Sugarcane,MOP
Black,100,60,100,70.5,100,20,Sugarcane,MOP
Black,75,50,105,60.5,13,25,Sugarcane,MOP
Black,80,50,105,60.5,13,25,Sugarcane,MOP
Black,805,50,105,60.5,13,25,Sugarcane,MOP
Black,90,50,105,60.5,13,25,Sugarcane,MOP
Black,95,50,105,60.5,13,25,Sugarcane,MOP
Black,100,50,105,60.5,13,25,Sugarcane,MOP
Black,75,55,100,70,14,30,Sugarcane,MOP
Black,80,55,100,70,14,30,Sugarcane,MOP
Black,805,55,100,70,14,30,Sugarcane,MOP
Black,90,55,100,70,14,30,Sugarcane,MOP
Black,95,55,100,70,14,30,Sugarcane,MOP
Black,100,55,100,70,14,30,Sugarcane,MOP
Black,75,60,115,70.5,15,35,Sugarcane,MOP
Black,80,60,115,70.5,15,35,Sugarcane,MOP
Black,805,60,115,70.5,15,35,Sugarcane,MOP
